Manufacturer,Year,Sales,Avg_Price,Customer_Satisfaction
Audi,2013,141932,91820,3.312037280884873
Tesla,2016,440410,59131,3.2857336358438816
Ford,2015,74820,15769,4.44399754453365
Volkswagen,2011,277455,98104,3.6084844859190754
Subaru,2018,402752,40658,3.799721943430511
Porsche,2012,77435,71886,4.966461771613576
Ford,2014,13890,56606,3.341048247374583
Audi,2011,151699,23792,4.931264066149119
Land Rover,2019,217624,38897,3.1953442280127677
Fiat,2021,392318,38483,3.2440764696895577
Hyundai,2012,90077,50920,3.517559963200034
Hyundai,2013,291601,81557,4.040136042355622
Nissan,2013,181829,24692,4.939169255529118
Subaru,2011,47065,47606,4.843748470046234
Hyundai,2016,363531,16016,4.922344048698698
Porsche,2022,477281,97798,4.657475018303859
Chevrolet,2018,48044,66214,3.3305338781260048
Audi,2018,130151,77592,3.397431363068345
Mazda,2012,311648,48159,4.458014336081975
Toyota,2020,310804,18561,3.7169314570885454
Kia,2021,294806,23392,4.246596253655116
Honda,2010,361279,50222,4.337682505327215
Mercedes,2012,487867,78335,3.5494435859801285
Ford,2010,385396,23110,4.42648957444599
Toyota,2014,108806,21910,3.5121366455226477
Kia,2019,132409,38419,3.215782853986609
Audi,2010,117059,69268,4.017141382329406
Mercedes,2016,212982,71044,4.079682182603346
BMW,2022,334767,96734,3.5795029058275363
Honda,2019,74044,57557,4.266807513020847
Volkswagen,2021,367403,84163,3.8330198957407324
Mazda,2019,85766,30707,3.71259567615395
Toyota,2010,138376,81842,3.8542155772525124
Fiat,2022,65016,24474,3.0139042610623816
Hyundai,2020,235928,18748,4.384872065780541
Nissan,2021,469415,49766,3.336582084345861
Kia,2013,457600,66005,4.943564165441922
Fiat,2021,324877,80318,3.994497011784771
Jaguar,2014,226688,41736,4.953229911665305
Mercedes,2010,327824,61717,3.289789744182446
Subaru,2019,245167,41309,3.484110543023001
BMW,2016,108506,27688,4.456432697223719
Mercedes,2013,116081,80733,3.797648884889106
Porsche,2010,365528,57107,4.016397553481437
Porsche,2022,364050,64811,3.6519178104037695
BMW,2012,396393,49754,4.61900209227943
Fiat,2016,224835,23680,4.381875476204932
Audi,2011,283255,52504,4.351380234078562
Land Rover,2016,294062,75713,3.515883255430311
Porsche,2019,493951,31371,4.059301156712013
Honda,2010,375871,35932,4.8008361143266605
Kia,2018,390002,57642,4.451911357740479
Ford,2013,16295,74040,4.284063292308575
Mazda,2010,42711,20539,4.797108377054158
Fiat,2012,398207,17557,4.880266884915557
Land Rover,2011,87505,17869,3.896848285972495
Kia,2013,100272,53467,3.4744981749936
Porsche,2013,68871,37399,4.488341046113124
Ford,2010,342415,59064,4.085080461109799
Tesla,2015,291974,32429,3.487979286758167
Volkswagen,2015,144508,89290,4.784093110354227
Honda,2014,326189,54790,3.985035387637728
Mercedes,2021,181836,89543,3.5615447248817116
Ford,2010,115983,88744,4.989101021594682
Lexus,2014,315669,62202,4.495437547794828
Mercedes,2017,275564,15301,4.933309638087339
Ford,2021,457456,80726,3.611394038574364
Toyota,2012,264079,41641,4.1136025249167005
Ford,2017,455101,51631,3.4178374352307204
Volvo,2015,28070,50777,3.5083272981394775
Nissan,2011,186089,81320,4.697339589849349
Kia,2020,219141,69748,3.593020287295597
Ford,2011,39592,25647,4.826481105112943
Audi,2018,382771,85316,3.3885479070240843
Hyundai,2021,97922,70766,3.055233543747409
Honda,2011,152038,67921,4.085289269415153
Jaguar,2013,80313,68006,3.720381282822526
Mercedes,2010,483351,34508,3.543085831639484
Subaru,2014,490358,69021,3.1033634423372156
Fiat,2012,442950,87615,4.452182667445323
Chevrolet,2011,289163,98613,3.0821350335357516
Tesla,2021,113481,40945,3.0507014868309152
Kia,2021,84740,81617,4.830427455252961
Volvo,2011,187247,22805,3.1877465801625835
Hyundai,2022,124548,18343,4.0333925148531335
Mercedes,2015,262764,74638,3.0954322553832974
Porsche,2012,154356,87789,3.0287869772595117
Lexus,2021,457556,59078,3.08145760463794
Lexus,2013,170196,58919,3.195668321302003
Porsche,2014,366902,77752,3.929347625879223
Mercedes,2016,376329,38049,4.898291463182772
BMW,2011,136131,55158,3.0306090805807697
Tesla,2019,281967,75160,4.078754896800125
Chevrolet,2013,37663,66991,4.8877832091215145
Honda,2010,59115,75890,4.601898589364799
Subaru,2011,21938,50195,3.2570007064678204
Tesla,2020,261492,53304,4.302969543715576
Mazda,2021,161836,53494,3.7545181664559517
Tesla,2011,110386,42350,3.1423772969204578
Hyundai,2022,124585,30305,3.046543871471652
Honda,2012,292502,18267,4.385780717383879
Land Rover,2022,21338,15412,3.0783726533512925
BMW,2019,48756,33888,4.137040567499916
Ford,2010,355186,32955,3.7440361715855666
Audi,2017,229798,22357,4.123733384287547
Subaru,2010,161222,86180,4.479817520894749
Ford,2018,196141,29397,3.993122381366155
Chevrolet,2020,49954,62280,3.106970593494738
Kia,2012,440155,84896,3.6386272751808297
Lexus,2013,326242,75921,4.263674424339598
Mercedes,2012,112795,26130,3.425455790048458
Porsche,2018,273206,99076,4.861858211374585
Audi,2019,19348,38714,4.7754083655166
Mazda,2020,16801,87267,4.376060020350078
Subaru,2010,218124,59261,3.168213612229995
Chevrolet,2017,49081,77856,4.643720118580712
Honda,2014,98092,69693,4.9732791570023505
Porsche,2022,167504,98285,4.625599134515005
Audi,2018,404540,50909,4.4163623911664
Tesla,2022,258683,41790,3.848444018493953
Tesla,2016,25485,59482,3.5073643477462775
Land Rover,2021,275853,45355,3.237635832536144
Kia,2016,324368,54298,4.166737530194319
Jaguar,2018,305735,97848,3.447191677038905
Volkswagen,2019,308539,37700,3.0863198239011522
Porsche,2015,365540,76642,4.838231430557319
BMW,2012,433570,28843,3.1508690941795385
Volvo,2018,62528,53413,3.5889878936788597
Toyota,2014,120133,83866,4.802316020981978
Mazda,2021,371801,25975,3.115727795515415
Volkswagen,2021,296103,81203,3.6713201295939264
BMW,2019,374167,99665,3.4587894914098993
Mercedes,2018,276979,35159,3.9064816936576623
Jaguar,2018,350896,70284,4.627590039413898
Porsche,2022,37532,49349,3.1524007591983265
Volkswagen,2011,66178,64407,4.162325242361653
Honda,2019,488007,73141,4.732127779000817
Chevrolet,2014,11015,76813,4.621106661563665
Volvo,2010,138778,77292,4.499156599952144
Jaguar,2022,161456,33017,3.0736437352719825
Toyota,2014,444159,62926,4.729444752510107
Jaguar,2014,370286,24860,4.993273674147811
Mercedes,2014,283060,19809,4.699294781354823
Jaguar,2014,459613,53765,3.502884879023597
Chevrolet,2022,329235,36949,4.756441334958384
Hyundai,2011,46187,22239,3.0443694840606033
Honda,2015,446341,64922,4.040327002223987
Subaru,2010,125765,88963,4.121875943070773
Jaguar,2016,54238,16252,4.24061910270693
Honda,2020,325826,74494,3.2727429511735395
Honda,2015,248897,70393,4.273288643244565
Volvo,2020,266434,76886,4.4527940653004565
Volkswagen,2010,369383,57318,3.7930855646425403
Nissan,2012,53088,54811,3.918693615892345
Jaguar,2019,292107,70123,3.9182715124765224
Honda,2015,286532,20569,3.657503220575016
Mazda,2020,153087,60002,3.1517266562173276
Porsche,2020,152709,37415,4.28174948960643
Hyundai,2013,380359,56240,4.793576819812023
Ford,2020,341868,90697,4.20387079108192
Tesla,2012,67108,51668,3.0636093629703303
Volkswagen,2010,376824,31907,3.412667436811585
Honda,2010,101865,96818,3.078624279682198
Volvo,2018,184293,25478,4.023314027094522
Mazda,2022,145504,79291,4.612402559586123
Jaguar,2012,322572,15302,3.740944205582764
Lexus,2019,300843,88686,4.062531507947068
Honda,2022,377257,19621,3.2954781838124534
Tesla,2016,146194,33030,4.688881345267258
Mazda,2021,128033,49674,3.4849410072694593
Mercedes,2021,231897,16062,3.6441583311663566
Audi,2015,460009,62915,3.4664328230996024
Chevrolet,2013,409384,22561,4.578342477214677
Chevrolet,2011,36734,21371,4.074213083637096
Honda,2017,480951,96264,4.128917085045282
Nissan,2018,201076,77981,4.799294794290025
Honda,2020,85703,91090,4.97303049758596
Mercedes,2018,199728,42285,3.4506655954250567
Volkswagen,2016,82303,42139,4.701635035672292
Kia,2016,428034,19324,4.964757233817213
Volkswagen,2011,313571,94579,4.834791226171063
Volvo,2015,403333,99471,4.445792193243552
Honda,2020,351383,61514,4.6771651174052495
Mercedes,2015,433321,57101,4.421904957673497
Fiat,2010,186659,51976,4.059680046362233
Toyota,2019,350621,57533,4.162476442845224
Mazda,2013,377436,62362,3.103647073644854
Land Rover,2017,75545,97180,3.1267499409455355
Subaru,2011,388892,20287,4.6197488917092695
Toyota,2014,118872,34216,3.233392128283363
Volvo,2017,107829,41614,4.588578899932925
Jaguar,2014,237645,27219,4.930053821333026
Lexus,2014,149639,85792,3.4100036201064743
Ford,2012,258320,20415,4.443193101502555
Hyundai,2020,445048,73596,3.403254640095489
Ford,2014,25524,34282,4.3303944413924
BMW,2018,24060,97985,3.7848902148452708
Hyundai,2017,216118,44287,3.753888858849815
Tesla,2022,475317,86520,4.495218760352502
Volvo,2010,160168,82728,4.799149146549137
Honda,2014,439671,19018,4.085698621226818
Volkswagen,2015,233810,98122,3.6698112293141723
Fiat,2022,277552,74379,4.482921822278091
BMW,2022,282933,81656,4.413960922486918
Toyota,2013,291173,74201,4.524917371481381
Nissan,2010,56197,70180,3.2212634739104145
BMW,2022,212967,79435,3.7945745811207345
Hyundai,2014,136108,29382,3.8179103541709862
Chevrolet,2011,157550,54666,4.131016694645948
Mazda,2020,81315,92834,4.918149589128055
Hyundai,2015,250773,27999,3.847193724840966
Lexus,2020,143515,90993,4.172459664033594
Land Rover,2018,156400,71942,4.4521911721248015
Mazda,2021,180987,52219,4.837501044521493
Mercedes,2017,325172,15126,3.305078085828523
Kia,2015,227138,59327,4.680879263960846
Mazda,2016,44560,91589,3.4718120691901624
Lexus,2013,134085,34256,3.664292825309878
Tesla,2017,466590,83244,3.758611396771098
Kia,2019,311368,28224,3.2285346001113755
Fiat,2018,249690,88509,3.6926919887319225
Land Rover,2020,329905,51368,4.174136448273135
Subaru,2020,482242,82526,3.331026634855948
Toyota,2010,440364,19757,3.440194428162194
Land Rover,2014,168768,85480,4.92214063493891
Jaguar,2013,324997,39917,3.1706993361572877
Hyundai,2010,161878,90520,3.619873852537222
Tesla,2020,436935,73066,3.698773998098666
Jaguar,2022,183532,87847,4.129682266525233
Land Rover,2010,74077,53258,3.9065776694960554
Honda,2015,391915,53000,3.801526121750652
Volkswagen,2012,391758,80155,3.3638562609905422
Audi,2012,88623,90629,4.053156933318587
Toyota,2016,223046,41399,4.4319444576947955
Hyundai,2010,383048,91534,3.507777128086609
Hyundai,2015,172552,83836,3.3570893241086672
Toyota,2021,111358,94111,3.1988827855186903
Lexus,2017,385597,99458,4.92529863710975
Fiat,2014,399301,81358,4.79267163704224
Audi,2019,264726,31032,3.4157725102920544
Tesla,2022,445090,28859,4.285851127228506
Land Rover,2011,446096,38236,3.683634703395752
Nissan,2011,104914,91918,3.5361272816457525
Mercedes,2014,481973,16279,4.104094361703961
Honda,2014,148155,32771,3.280226351532905
Nissan,2017,77642,52599,3.8504270089384667
Tesla,2010,12573,93344,4.083268429321734
